RESULTS FOR java -jar target/searcher.jar -t custom -w true -tr true -p true -s true -n 3
  0 | How use Django for web development  P@k = 0.10000; R@k = 0.13333; A@k = 0.00427
  0 | How use Django for web development  P@k = 0.15000; R@k = 0.20000; A@k = 0.00637
  1 | Recursion speed                     P@k = 0.10000; R@k = 1.00000; A@k = 0.00415
  2 | Templates usage c++                 P@k = 0.25000; R@k = 0.33333; A@k = 0.01053
  3 | How to loop over data               P@k = 0.05000; R@k = 0.16667; A@k = 0.00210
  4 | Python Tkinter button not working   P@k = 0.05000; R@k = 0.33333; A@k = 0.00209
  5 | Issues with Qt                      P@k = 0.10000; R@k = 0.12500; A@k = 0.00427
  6 | Drawing in PyGame on collision      P@k = 0.10000; R@k = 0.66667; A@k = 0.00417
  7 | Python Opencv cannot detect         P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  8 | How to read and write to a file     P@k = 0.10000; R@k = 0.22222; A@k = 0.00421
  9 | Using nested dictionary             P@k = 0.10000; R@k = 1.00000; A@k = 0.00415
 10 | Computing with timestamps           P@k = 0.15000; R@k = 0.75000; A@k = 0.00626
 11 | Lamdba not working                  P@k = 0.05000; R@k = 0.33333; A@k = 0.00209
 12 | How to use class inheritance        P@k = 0.15000; R@k = 0.75000; A@k = 0.00622
 13 | Using class methods                 P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 14 | Class private members               P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 15 | How can you use lists in python     P@k = 0.05000; R@k = 0.10000; A@k = 0.00212
 16 | Manipulating a list                 P@k = 0.05000; R@k = 0.20000; A@k = 0.00211
 17 | How to work with sockets            P@k = 0.05000; R@k = 0.25000; A@k = 0.00209
 18 | REST API requests                   P@k = 0.05000; R@k = 0.20000; A@k = 0.00210
 19 | Create testing environment in python P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 20 | Using nested JSON                   P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 21 | Operations on Pandas dataframe      P@k = 0.15000; R@k = 0.12000; A@k = 0.00649
 22 | The best way to implement a Numpy array P@k = 0.10000; R@k = 0.20000; A@k = 0.00421
 23 | Multithreading and synchonization   P@k = 0.15000; R@k = 0.30000; A@k = 0.00630
 24 | Sorting Algorithms                  P@k = 0.05000; R@k = 0.33333; A@k = 0.00209
 25 | What’s the difference between passing a parameter by reference or by value P@k = 0.05000; R@k = 0.50000; A@k = 0.00208
 26 | Pointers in C++                     P@k = 0.05000; R@k = 0.11111; A@k = 0.00211
 27 | How to Plot data in Python          P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 28 | Sql database                        P@k = 0.05000; R@k = 0.11111; A@k = 0.00211
 29 | How to get my regex to work         P@k = 0.05000; R@k = 0.09091; A@k = 0.00212
 30 | Neural Networks tensors in keras    P@k = 0.40000; R@k = 1.00000; A@k = 0.01639
 31 | Beautifulsoup web scrapers          P@k = 0.15000; R@k = 0.42857; A@k = 0.00626
 32 | New to programming                  P@k = 0.05000; R@k = 0.04545; A@k = 0.00217
 98 | Python                              P@k = 0.75000; R@k = 0.04644; A@k = 0.08021
 99 | C++                                 P@k = 0.50000; R@k = 0.05618; A@k = 0.03106
Weighted Precision@20 = 0.11571428571428569
Weighted Recall@20    = 0.2849618737088585
Weighted Accuracy@20    = 0.006532343546842929


RESULTS FOR java -jar target/searcher.jar -t custom -w true -tr false -p false -s true -n 8
  0 | How use Django for web development  P@k = 0.53846; R@k = 0.46667; A@k = 1.00000
  1 | Recursion speed                     P@k = 0.05000; R@k = 0.50000; A@k = 0.20000
  2 | Templates usage c++                 P@k = 0.70000; R@k = 0.93333; A@k = 0.06796
  3 | How to loop over data               P@k = 0.15000; R@k = 0.50000; A@k = 0.02098
  4 | Python Tkinter button not working   P@k = 0.50000; R@k = 1.00000; A@k = 1.00000
  5 | Issues with Qt                      P@k = 0.31579; R@k = 0.37500; A@k = 1.00000
  6 | Drawing in PyGame on collision      P@k = 1.00000; R@k = 0.33333; A@k = 1.00000
  7 | Python Opencv cannot detect         P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  8 | How to read and write to a file     P@k = 0.10000; R@k = 0.22222; A@k = 0.00855
  9 | Using nested dictionary             P@k = 0.14286; R@k = 1.00000; A@k = 1.00000
 10 | Computing with timestamps           P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 11 | Lamdba not working                  P@k = 0.15000; R@k = 1.00000; A@k = 0.23077
 12 | How to use class inheritance        P@k = 0.10000; R@k = 0.50000; A@k = 0.03922
 13 | Using class methods                 P@k = 0.10000; R@k = 0.33333; A@k = 0.03922
 14 | Class private members               P@k = 0.10000; R@k = 0.66667; A@k = 0.02222
 15 | How can you use lists in python     P@k = 0.21053; R@k = 0.40000; A@k = 1.00000
 16 | Manipulating a list                 P@k = 0.10000; R@k = 0.40000; A@k = 0.00515
 17 | How to work with sockets            P@k = 0.15000; R@k = 0.75000; A@k = 0.18750
 18 | REST API requests                   P@k = 0.10000; R@k = 0.40000; A@k = 0.16667
 19 | Create testing environment in python P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 20 | Using nested JSON                   P@k = 0.22222; R@k = 0.50000; A@k = 1.00000
 21 | Operations on Pandas dataframe      P@k = 0.72222; R@k = 0.52000; A@k = 1.00000
 22 | The best way to implement a Numpy array P@k = 0.05000; R@k = 0.10000; A@k = 0.04762
 23 | Multithreading and synchonization   P@k = 0.28571; R@k = 0.20000; A@k = 1.00000
 24 | Sorting Algorithms                  P@k = 0.10000; R@k = 0.66667; A@k = 0.66667
 25 | What’s the difference between passing a parameter by reference or by value P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 26 | Pointers in C++                     P@k = 0.30000; R@k = 0.66667; A@k = 0.15000
 27 | How to Plot data in Python          P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 28 | Sql database                        P@k = 0.20000; R@k = 0.33333; A@k = 1.00000
 29 | How to get my regex to work         P@k = 0.60000; R@k = 0.81818; A@k = 1.00000
 30 | Neural Networks tensors in keras    P@k = 0.50000; R@k = 0.12500; A@k = 1.00000
 31 | Beautifulsoup web scrapers          P@k = 0.30000; R@k = 0.85714; A@k = 0.02985
 32 | New to programming                  P@k = 0.05000; R@k = 0.04545; A@k = 0.00282
 98 | Python                              P@k = 1.00000; R@k = 0.06192; A@k = 0.86957
 99 | C++                                 P@k = 0.95000; R@k = 0.10674; A@k = 0.05723
Weighted Precision@20 = 0.27965123431288835
Weighted Recall@20    = 0.42233321487654607
Weighted Accuracy@20    = 0.4231996222377817


RESULTS FOR java -jar target/searcher.jar -t custom -w true -tr false -p false -s true -n 8 --rocchio true
  0 | How use Django for web development  P@k = 0.20000; R@k = 0.26667; A@k = 0.00846
  1 | Recursion speed                     P@k = 0.05000; R@k = 0.50000; A@k = 0.00208
  2 | Templates usage c++                 P@k = 0.25000; R@k = 0.33333; A@k = 0.01053
  3 | How to loop over data               P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  4 | Python Tkinter button not working   P@k = 0.05000; R@k = 0.33333; A@k = 0.00209
  5 | Issues with Qt                      P@k = 0.10000; R@k = 0.12500; A@k = 0.00427
  6 | Drawing in PyGame on collision      P@k = 0.15000; R@k = 1.00000; A@k = 0.00622
  7 | Python Opencv cannot detect         P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  8 | How to read and write to a file     P@k = 0.10000; R@k = 0.22222; A@k = 0.00421
  9 | Using nested dictionary             P@k = 0.05000; R@k = 0.50000; A@k = 0.00208
 10 | Computing with timestamps           P@k = 0.15000; R@k = 0.75000; A@k = 0.00636
 11 | Lamdba not working                  P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 12 | How to use class inheritance        P@k = 0.10000; R@k = 0.50000; A@k = 0.00417
 13 | Using class methods                 P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 14 | Class private members               P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 15 | How can you use lists in python     P@k = 0.05000; R@k = 0.10000; A@k = 0.00212
 16 | Manipulating a list                 P@k = 0.05000; R@k = 0.20000; A@k = 0.00215
 17 | How to work with sockets            P@k = 0.05000; R@k = 0.25000; A@k = 0.00209
 18 | REST API requests                   P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 19 | Create testing environment in python P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 20 | Using nested JSON                   P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 21 | Operations on Pandas dataframe      P@k = 0.20000; R@k = 0.16000; A@k = 0.00862
 22 | The best way to implement a Numpy array P@k = 0.15000; R@k = 0.30000; A@k = 0.00629
 23 | Multithreading and synchonization   P@k = 0.15000; R@k = 0.30000; A@k = 0.00630
 24 | Sorting Algorithms                  P@k = 0.10000; R@k = 0.66667; A@k = 0.00416
 25 | What’s the difference between passing a parameter by reference or by value P@k = 0.05000; R@k = 0.50000; A@k = 0.00208
 26 | Pointers in C++                     P@k = 0.05000; R@k = 0.11111; A@k = 0.00211
 27 | How to Plot data in Python          P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 28 | Sql database                        P@k = 0.05000; R@k = 0.11111; A@k = 0.00211
 29 | How to get my regex to work         P@k = 0.05000; R@k = 0.09091; A@k = 0.00212
 30 | Neural Networks tensors in keras    P@k = 0.25000; R@k = 0.62500; A@k = 0.01037
 31 | Beautifulsoup web scrapers          P@k = 0.10000; R@k = 0.28571; A@k = 0.00419
 32 | New to programming                  P@k = 0.05000; R@k = 0.04545; A@k = 0.00217
 98 | Python                              P@k = 0.65000; R@k = 0.04025; A@k = 0.07104
 99 | C++                                 P@k = 0.55000; R@k = 0.06180; A@k = 0.03395
Weighted Precision@20 = 0.10714285714285712
Weighted Recall@20    = 0.2393876513528551
Weighted Accuracy@20    = 0.00606701555251355


RESULTS FOR java -jar target/searcher.jar -t custom -w true -tr false -p false -s false -n 3
  0 | How use Django for web development  P@k = 1.00000; R@k = 0.06667; A@k = 1.00000
  1 | Recursion speed                     P@k = 0.25000; R@k = 1.00000; A@k = 1.00000
  2 | Templates usage c++                 P@k = 0.30000; R@k = 0.40000; A@k = 0.60000
  3 | How to loop over data               P@k = 0.10000; R@k = 0.33333; A@k = 0.05714
  4 | Python Tkinter button not working   P@k = 0.10000; R@k = 0.66667; A@k = 0.33333
  5 | Issues with Qt                      P@k = 0.80000; R@k = 0.25000; A@k = 1.00000
  7 | Python Opencv cannot detect         P@k = 0.05000; R@k = 0.33333; A@k = 0.01010
  8 | How to read and write to a file     P@k = 0.10000; R@k = 0.22222; A@k = 0.66667
  9 | Using nested dictionary             P@k = 0.10526; R@k = 1.00000; A@k = 1.00000
 10 | Computing with timestamps           P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 11 | Lamdba not working                  P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 12 | How to use class inheritance        P@k = 0.10000; R@k = 0.50000; A@k = 0.06667
 13 | Using class methods                 P@k = 0.05000; R@k = 0.16667; A@k = 0.02222
 14 | Class private members               P@k = 0.05263; R@k = 0.33333; A@k = 1.00000
 15 | How can you use lists in python     P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 16 | Manipulating a list                 P@k = 0.05000; R@k = 0.20000; A@k = 0.00518
 17 | How to work with sockets            P@k = 0.06250; R@k = 0.25000; A@k = 1.00000
 18 | REST API requests                   P@k = 0.15385; R@k = 0.40000; A@k = 1.00000
 19 | Create testing environment in python P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 20 | Using nested JSON                   P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 22 | The best way to implement a Numpy array P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 23 | Multithreading and synchonization   P@k = 0.66667; R@k = 0.20000; A@k = 1.00000
 24 | Sorting Algorithms                  P@k = 0.10000; R@k = 0.66667; A@k = 0.66667
 25 | What’s the difference between passing a parameter by reference or by value P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 26 | Pointers in C++                     P@k = 0.15000; R@k = 0.33333; A@k = 0.13636
 27 | How to Plot data in Python          P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 28 | Sql database                        P@k = 0.05000; R@k = 0.11111; A@k = 0.00463
 29 | How to get my regex to work         P@k = 0.38462; R@k = 0.45455; A@k = 1.00000
 30 | Neural Networks tensors in keras    P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 31 | Beautifulsoup web scrapers          P@k = 0.05000; R@k = 0.14286; A@k = 0.16667
 32 | New to programming                  P@k = 0.15000; R@k = 0.13636; A@k = 0.05882
 98 | Python                              P@k = 0.95000; R@k = 0.05882; A@k = 0.90476
 99 | C++                                 P@k = 0.95000; R@k = 0.10674; A@k = 0.26761
Weighted Precision@20 = 0.20380372551425185
Weighted Recall@20    = 0.2525049899862133
Weighted Accuracy@20    = 0.39293429607836666


RESULTS FOR java -jar target/searcher.jar -t custom -w true -tr false -p false -s false -n 3 --rocchio true
  0 | How use Django for web development  P@k = 0.40000; R@k = 0.53333; A@k = 0.01663
  1 | Recursion speed                     P@k = 0.05000; R@k = 0.50000; A@k = 0.00208
  2 | Templates usage c++                 P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  3 | How to loop over data               P@k = 0.05000; R@k = 0.16667; A@k = 0.00210
  4 | Python Tkinter button not working   P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  5 | Issues with Qt                      P@k = 0.05000; R@k = 0.06250; A@k = 0.00215
  6 | Drawing in PyGame on collision      P@k = 0.05000; R@k = 0.33333; A@k = 0.00209
  7 | Python Opencv cannot detect         P@k = 0.15000; R@k = 1.00000; A@k = 0.00621
  8 | How to read and write to a file     P@k = 0.30000; R@k = 0.66667; A@k = 0.01245
  9 | Using nested dictionary             P@k = 0.05000; R@k = 0.50000; A@k = 0.00208
 10 | Computing with timestamps           P@k = 0.10000; R@k = 0.50000; A@k = 0.00417
 11 | Lamdba not working                  P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 12 | How to use class inheritance        P@k = 0.10000; R@k = 0.50000; A@k = 0.00417
 13 | Using class methods                 P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 14 | Class private members               P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 15 | How can you use lists in python     P@k = 0.10000; R@k = 0.20000; A@k = 0.00422
 16 | Manipulating a list                 P@k = 0.15000; R@k = 0.60000; A@k = 0.00624
 17 | How to work with sockets            P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 18 | REST API requests                   P@k = 0.05000; R@k = 0.20000; A@k = 0.00210
 19 | Create testing environment in python P@k = 0.05000; R@k = 0.33333; A@k = 0.00209
 20 | Using nested JSON                   P@k = 0.05000; R@k = 0.25000; A@k = 0.00209
 21 | Operations on Pandas dataframe      P@k = 0.65000; R@k = 0.52000; A@k = 0.02697
 22 | The best way to implement a Numpy array P@k = 0.40000; R@k = 0.80000; A@k = 0.01646
 23 | Multithreading and synchonization   P@k = 0.20000; R@k = 0.40000; A@k = 0.00837
 24 | Sorting Algorithms                  P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 25 | What’s the difference between passing a parameter by reference or by value P@k = 0.05000; R@k = 0.50000; A@k = 0.00208
 26 | Pointers in C++                     P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 27 | How to Plot data in Python          P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 28 | Sql database                        P@k = 0.05000; R@k = 0.11111; A@k = 0.00211
 29 | How to get my regex to work         P@k = 0.10000; R@k = 0.18182; A@k = 0.00422
 30 | Neural Networks tensors in keras    P@k = 0.35000; R@k = 0.87500; A@k = 0.01440
 31 | Beautifulsoup web scrapers          P@k = 0.10000; R@k = 0.28571; A@k = 0.00419
 32 | New to programming                  P@k = 0.10000; R@k = 0.09091; A@k = 0.00432
 98 | Python                              P@k = 0.70000; R@k = 0.04334; A@k = 0.07568
 99 | C++                                 P@k = 0.40000; R@k = 0.04494; A@k = 0.02516
Weighted Precision@20 = 0.13714285714285715
Weighted Recall@20    = 0.2913906707531856
Weighted Accuracy@20    = 0.00728055984738164


RESULTS FOR java -jar target/searcher.jar -t custom -w true -tr false -p false -s false -n 4
  1 | Recursion speed                     P@k = 0.33333; R@k = 0.50000; A@k = 1.00000
  2 | Templates usage c++                 P@k = 0.29412; R@k = 0.33333; A@k = 1.00000
  3 | How to loop over data               P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  5 | Issues with Qt                      P@k = 0.57143; R@k = 0.25000; A@k = 1.00000
  6 | Drawing in PyGame on collision      P@k = 0.33333; R@k = 0.33333; A@k = 1.00000
  7 | Python Opencv cannot detect         P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  8 | How to read and write to a file     P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  9 | Using nested dictionary             P@k = 0.16667; R@k = 0.50000; A@k = 1.00000
 10 | Computing with timestamps           P@k = 0.11111; R@k = 0.25000; A@k = 1.00000
 11 | Lamdba not working                  P@k = 0.14286; R@k = 0.33333; A@k = 1.00000
 12 | How to use class inheritance        P@k = 0.20000; R@k = 0.50000; A@k = 1.00000
 13 | Using class methods                 P@k = 0.10000; R@k = 0.33333; A@k = 0.05000
 14 | Class private members               P@k = 0.09091; R@k = 0.33333; A@k = 1.00000
 15 | How can you use lists in python     P@k = 0.20000; R@k = 0.40000; A@k = 0.15385
 16 | Manipulating a list                 P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 17 | How to work with sockets            P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 18 | REST API requests                   P@k = 0.12500; R@k = 0.40000; A@k = 1.00000
 20 | Using nested JSON                   P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 21 | Operations on Pandas dataframe      P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 23 | Multithreading and synchonization   P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 24 | Sorting Algorithms                  P@k = 0.28571; R@k = 0.66667; A@k = 1.00000
 26 | Pointers in C++                     P@k = 0.25000; R@k = 0.55556; A@k = 0.17857
 27 | How to Plot data in Python          P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 28 | Sql database                        P@k = 0.20000; R@k = 0.44444; A@k = 0.44444
 29 | How to get my regex to work         P@k = 0.25000; R@k = 0.09091; A@k = 1.00000
 31 | Beautifulsoup web scrapers          P@k = 0.66667; R@k = 0.28571; A@k = 1.00000
 32 | New to programming                  P@k = 0.05263; R@k = 0.04545; A@k = 1.00000
 98 | Python                              P@k = 0.95000; R@k = 0.05882; A@k = 0.90476
 99 | C++                                 P@k = 0.95000; R@k = 0.10674; A@k = 0.27143
Weighted Precision@20 = 0.21633687682849637
Weighted Recall@20    = 0.2317578054433355
Weighted Accuracy@20    = 0.5518293966569829


RESULTS FOR java -jar target/searcher.jar -t custom -w true -tr false -p false -s false -n 4 --rocchio true
  0 | How use Django for web development  P@k = 0.55000; R@k = 0.73333; A@k = 0.02350
  1 | Recursion speed                     P@k = 0.05000; R@k = 0.50000; A@k = 0.00208
  2 | Templates usage c++                 P@k = 0.05000; R@k = 0.06667; A@k = 0.00214
  3 | How to loop over data               P@k = 0.05000; R@k = 0.16667; A@k = 0.00210
  4 | Python Tkinter button not working   P@k = 0.10000; R@k = 0.66667; A@k = 0.00416
  5 | Issues with Qt                      P@k = 0.10000; R@k = 0.12500; A@k = 0.00427
  6 | Drawing in PyGame on collision      P@k = 0.15000; R@k = 1.00000; A@k = 0.00624
  7 | Python Opencv cannot detect         P@k = 0.15000; R@k = 1.00000; A@k = 0.00624
  8 | How to read and write to a file     P@k = 0.15000; R@k = 0.33333; A@k = 0.00711
  9 | Using nested dictionary             P@k = 0.05000; R@k = 0.50000; A@k = 0.00208
 10 | Computing with timestamps           P@k = 0.15000; R@k = 0.75000; A@k = 0.00622
 11 | Lamdba not working                  P@k = 0.05000; R@k = 0.33333; A@k = 0.00209
 12 | How to use class inheritance        P@k = 0.20000; R@k = 1.00000; A@k = 0.00855
 13 | Using class methods                 P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 14 | Class private members               P@k = 0.05000; R@k = 0.33333; A@k = 0.00209
 15 | How can you use lists in python     P@k = 0.15000; R@k = 0.30000; A@k = 0.00630
 16 | Manipulating a list                 P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 17 | How to work with sockets            P@k = 0.20000; R@k = 1.00000; A@k = 0.01105
 18 | REST API requests                   P@k = 0.05000; R@k = 0.20000; A@k = 0.00210
 19 | Create testing environment in python P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 20 | Using nested JSON                   P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 21 | Operations on Pandas dataframe      P@k = 0.85000; R@k = 0.68000; A@k = 0.03484
 22 | The best way to implement a Numpy array P@k = 0.40000; R@k = 0.80000; A@k = 0.01839
 23 | Multithreading and synchonization   P@k = 0.40000; R@k = 0.80000; A@k = 0.01663
 24 | Sorting Algorithms                  P@k = 0.10000; R@k = 0.66667; A@k = 0.00416
 25 | What’s the difference between passing a parameter by reference or by value P@k = 0.05000; R@k = 0.50000; A@k = 0.00211
 26 | Pointers in C++                     P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 27 | How to Plot data in Python          P@k = 0.15000; R@k = 0.50000; A@k = 0.00670
 28 | Sql database                        P@k = 0.05000; R@k = 0.11111; A@k = 0.00211
 29 | How to get my regex to work         P@k = 0.10000; R@k = 0.18182; A@k = 0.00422
 30 | Neural Networks tensors in keras    P@k = 0.40000; R@k = 1.00000; A@k = 0.01724
 31 | Beautifulsoup web scrapers          P@k = 0.15000; R@k = 0.42857; A@k = 0.00626
 32 | New to programming                  P@k = 0.10000; R@k = 0.09091; A@k = 0.00432
 98 | Python                              P@k = 0.95000; R@k = 0.05882; A@k = 0.09744
 99 | C++                                 P@k = 0.45000; R@k = 0.05056; A@k = 0.02813
Weighted Precision@20 = 0.18285714285714286
Weighted Recall@20    = 0.4250512897021253
Weighted Accuracy@20    = 0.009738726591029761


RESULTS FOR java -jar target/searcher.jar -t custom -w true -tr false -p false -s false -n 5
  1 | Recursion speed                     P@k = 0.50000; R@k = 0.50000; A@k = 1.00000
  2 | Templates usage c++                 P@k = 0.16667; R@k = 0.06667; A@k = 1.00000
  3 | How to loop over data               P@k = 0.25000; R@k = 0.16667; A@k = 1.00000
  4 | Python Tkinter button not working   P@k = 1.00000; R@k = 0.33333; A@k = 1.00000
  5 | Issues with Qt                      P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  9 | Using nested dictionary             P@k = 0.50000; R@k = 0.50000; A@k = 1.00000
 10 | Computing with timestamps           P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 11 | Lamdba not working                  P@k = 0.33333; R@k = 0.33333; A@k = 1.00000
 13 | Using class methods                 P@k = 0.05000; R@k = 0.16667; A@k = 0.04545
 14 | Class private members               P@k = 0.10000; R@k = 0.66667; A@k = 1.00000
 15 | How can you use lists in python     P@k = 0.07143; R@k = 0.10000; A@k = 1.00000
 16 | Manipulating a list                 P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 18 | REST API requests                   P@k = 0.28571; R@k = 0.40000; A@k = 1.00000
 20 | Using nested JSON                   P@k = 0.14286; R@k = 0.25000; A@k = 1.00000
 21 | Operations on Pandas dataframe      P@k = 0.50000; R@k = 0.04000; A@k = 1.00000
 23 | Multithreading and synchonization   P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 24 | Sorting Algorithms                  P@k = 0.20000; R@k = 0.66667; A@k = 1.00000
 26 | Pointers in C++                     P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 28 | Sql database                        P@k = 0.50000; R@k = 0.55556; A@k = 1.00000
 29 | How to get my regex to work         P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 31 | Beautifulsoup web scrapers          P@k = 0.33333; R@k = 0.14286; A@k = 1.00000
 32 | New to programming                  P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 98 | Python                              P@k = 0.95000; R@k = 0.05882; A@k = 0.90476
 99 | C++                                 P@k = 0.95000; R@k = 0.10674; A@k = 0.27143
Weighted Precision@20 = 0.2847222222222222
Weighted Recall@20    = 0.21058240836909045
Weighted Accuracy@20    = 0.6342352092352094


RESULTS FOR java -jar target/searcher.jar -t custom -w true -tr false -p false -s false -n 5 --rocchio true
  0 | How use Django for web development  P@k = 0.50000; R@k = 0.66667; A@k = 0.02433
  1 | Recursion speed                     P@k = 0.05000; R@k = 0.50000; A@k = 0.00208
  2 | Templates usage c++                 P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  3 | How to loop over data               P@k = 0.05000; R@k = 0.16667; A@k = 0.00210
  4 | Python Tkinter button not working   P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  5 | Issues with Qt                      P@k = 0.45000; R@k = 0.56250; A@k = 0.10976
  6 | Drawing in PyGame on collision      P@k = 0.15000; R@k = 1.00000; A@k = 0.00920
  7 | Python Opencv cannot detect         P@k = 0.15000; R@k = 1.00000; A@k = 0.00735
  8 | How to read and write to a file     P@k = 0.10000; R@k = 0.22222; A@k = 0.00519
  9 | Using nested dictionary             P@k = 0.05000; R@k = 0.50000; A@k = 0.00208
 10 | Computing with timestamps           P@k = 0.10000; R@k = 0.50000; A@k = 0.00639
 11 | Lamdba not working                  P@k = 0.05000; R@k = 0.33333; A@k = 0.00209
 12 | How to use class inheritance        P@k = 0.20000; R@k = 1.00000; A@k = 0.00909
 13 | Using class methods                 P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 14 | Class private members               P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 15 | How can you use lists in python     P@k = 0.05000; R@k = 0.10000; A@k = 0.00214
 16 | Manipulating a list                 P@k = 0.05000; R@k = 0.20000; A@k = 0.00295
 17 | How to work with sockets            P@k = 0.20000; R@k = 1.00000; A@k = 0.01242
 18 | REST API requests                   P@k = 0.10000; R@k = 0.40000; A@k = 0.00418
 19 | Create testing environment in python P@k = 0.05000; R@k = 0.33333; A@k = 0.00238
 20 | Using nested JSON                   P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 21 | Operations on Pandas dataframe      P@k = 0.60000; R@k = 0.48000; A@k = 0.03046
 22 | The best way to implement a Numpy array P@k = 0.35000; R@k = 0.70000; A@k = 0.01857
 23 | Multithreading and synchonization   P@k = 0.40000; R@k = 0.80000; A@k = 0.02073
 24 | Sorting Algorithms                  P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 25 | What’s the difference between passing a parameter by reference or by value P@k = 0.05000; R@k = 0.50000; A@k = 0.00216
 26 | Pointers in C++                     P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 27 | How to Plot data in Python          P@k = 0.05000; R@k = 0.16667; A@k = 0.00246
 28 | Sql database                        P@k = 0.05000; R@k = 0.11111; A@k = 0.00211
 29 | How to get my regex to work         P@k = 0.45000; R@k = 0.81818; A@k = 0.02143
 30 | Neural Networks tensors in keras    P@k = 0.35000; R@k = 0.87500; A@k = 0.03571
 31 | Beautifulsoup web scrapers          P@k = 0.15000; R@k = 0.42857; A@k = 0.00626
 32 | New to programming                  P@k = 0.05000; R@k = 0.04545; A@k = 0.00217
 98 | Python                              P@k = 0.80000; R@k = 0.04954; A@k = 0.08466
 99 | C++                                 P@k = 0.30000; R@k = 0.03371; A@k = 0.01911
Weighted Precision@20 = 0.16857142857142857
Weighted Recall@20    = 0.3855128931740429
Weighted Accuracy@20    = 0.012844577450038796


RESULTS FOR java -jar target/searcher.jar -t custom -w true -tr false -p false -s false -n 6
  1 | Recursion speed                     P@k = 0.33333; R@k = 0.50000; A@k = 1.00000
  2 | Templates usage c++                 P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  3 | How to loop over data               P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
